金华,65,56,49,43,39,31,27,29,35,40,43,63
宁波,64,53,43,42,34,29,23,21,27,32,44,65
杭州,89,72,66,57,52,40,32,30,37,44,59,85
铜陵,83,69,56,49,56,36,30,33,33,47,62,85
上海,66,54,48,51,43,41,35,28,31,30,47,59
芜湖,81,61,51,44,48,35,31,28,38,49,64,87
合肥,93,81,66,51,47,43,34,32,37,46,62,90
南京,78,64,56,42,39,34,25,21,26,36,52,72
盐城,78,69,55,50,37,35,31,24,28,35,54,70
